"incident_date","incident_datetime","analysis_neighborhood","incident_category","incident_category","resolution","police_district","incident_description","incident_number"
"2023-01-01 00:00:00","2023-01-01 01:03:00","Western Addition","Assault","Assault","Cite or Arrest Adult","Northern","Battery, Of A Police Officer","230000155"
"2023-01-01 00:00:00","2023-01-01 01:03:00","Western Addition","Other Miscellaneous","Other Miscellaneous","Cite or Arrest Adult","Northern","Driving While Under The Influence Of Alcohol","230000155"
"2023-01-01 00:00:00","2023-01-01 01:03:00","Western Addition","Other Miscellaneous","Other Miscellaneous","Cite or Arrest Adult","Northern","Resisting, Delaying, or Obstructing  Peace Officer Duties","230000155"
"2023-01-01 00:00:00","2023-01-01 01:03:00","Western Addition","Other Miscellaneous","Other Miscellaneous","Cite or Arrest Adult","Northern","Driving While Under The Influence Of Alcohol","230000155"
"2023-01-01 00:00:00","2023-01-01 01:03:00","Western Addition","Other Miscellaneous","Other Miscellaneous","Cite or Arrest Adult","Northern","Resisting, Delaying, or Obstructing  Peace Officer Duties","230000155"
"2023-01-01 00:00:00","2023-01-01 01:04:00","Pacific Heights","Malicious Mischief","Malicious Mischief","Open or Active","Richmond","Malicious Mischief, Vandalism to Property","230000133"
"2023-01-01 00:00:00","2023-01-01 01:10:00","Mission","Assault","Assault","Open or Active","Mission","Battery","230000149"
"2023-01-01 00:00:00","2023-01-01 01:14:00","Tenderloin","Assault","Assault","Open or Active","Tenderloin","Battery","230000161"
"2023-01-01 00:00:00","2023-01-01 01:28:00","Excelsior","Non-Criminal","Non-Criminal","Open or Active","Ingleside","Mental Health Detention","230000230"
"2023-01-01 00:00:00","2023-01-01 01:35:00","Treasure Island","Assault","Assault","Open or Active","Southern","Assault, Aggravated, W/ Force","230000199"
"2023-01-01 00:00:00","2023-01-01 01:41:00","Potrero Hill","Weapons Offense","Weapons Offense","Open or Active","Bayview","Firearm, Discharging Within City Limits","230000177"
"2023-01-01 00:00:00","2023-01-01 01:41:00","Potrero Hill","Weapons Offense","Weapons Offense","Open or Active","Bayview","Firearm, Discharging Within City Limits","230000177"
"2023-01-01 00:00:00","2023-01-01 01:47:00","Castro/Upper Market","Burglary","Burglary","Open or Active","Mission","Burglary, Apartment House, Att. Forcible Entry","230002963"
"2023-01-01 00:00:00","2023-01-01 01:50:00","Financial District/South Beach","Assault","Assault","Cite or Arrest Adult","Southern","Assault, Aggravated, W/ Force","230000321"
"2023-01-01 00:00:00","2023-01-01 01:50:00","Financial District/South Beach","Assault","Assault","Cite or Arrest Adult","Southern","Battery","230000321"
"2023-01-01 00:00:00","2023-01-01 01:52:00","South of Market","Assault","Assault","Open or Active","Southern","Battery","230000371"
"2023-01-01 00:00:00","2023-01-01 01:54:00","Visitacion Valley","Arson","Arson","Open or Active","Ingleside","Arson of Vehicle","230000218"
"2023-01-01 00:00:00","2023-01-01 02:00:00","Mission","Assault","Assault","Open or Active","Mission","Assault, Aggravated, W/ Gun","230000387"
"2023-01-01 00:00:00","2023-01-01 02:00:00","Mission","Assault","Assault","Open or Active","Mission","Battery","230000309"
"2023-01-01 00:00:00","2023-01-01 02:00:00","Mission","Disorderly Conduct","Disorderly Conduct","Open or Active","Mission","Alcohol, Under Influence Of In Public Place","230000309"
"2023-01-01 00:00:00","2023-01-01 02:05:00","Bernal Heights","Other Miscellaneous","Other Miscellaneous","Open or Active","Ingleside","Investigative Detention","230000337"
"2023-01-01 00:00:00","2023-01-01 02:08:00","Bernal Heights","Motor Vehicle Theft","Motor Vehicle Theft","Open or Active","Ingleside","Vehicle, Stolen, Auto","230000296"
"2023-01-01 00:00:00","2023-01-01 02:10:00","Nob Hill","Assault","Assault","Open or Active","Central","Battery","230000246"
"2023-01-01 00:00:00","2023-01-01 02:13:00","Mission","Motor Vehicle Theft","Motor Vehicle Theft","Cite or Arrest Adult","Mission","Vehicle, Recovered, Stolen outside SF","230000268"
"2023-01-01 00:00:00","2023-01-01 02:15:00","Bernal Heights","Assault","Assault","Open or Active","Ingleside","Assault, Aggravated, W/ Force","230000359"
"2023-01-01 00:00:00","2023-01-01 02:20:00","Lone Mountain/USF","Burglary","Burglary","Cite or Arrest Adult","Richmond","Burglary, Non-residential, Forcible Entry","230000274"
"2023-01-01 00:00:00","2023-01-01 02:20:00","Mission","Motor Vehicle Theft","Motor Vehicle Theft","Open or Active","Mission","Vehicle, Stolen, Auto","230000393"
"2023-01-01 00:00:00","2023-01-01 02:20:00","Chinatown","Assault","Assault","Open or Active","Central","Battery","230000315"
"2023-01-01 00:00:00","2023-01-01 02:20:00","Lone Mountain/USF","Other Miscellaneous","Other Miscellaneous","Cite or Arrest Adult","Richmond","Resisting, Delaying, or Obstructing  Peace Officer Duties","230000274"
"2023-01-01 00:00:00","2023-01-01 02:20:00","Lone Mountain/USF","Warrant","Warrant","Cite or Arrest Adult","Richmond","Warrant Arrest, Local SF Warrant","230000274"
"2023-01-01 00:00:00","2023-01-01 02:25:00","Tenderloin","Assault","Assault","Cite or Arrest Adult","Tenderloin","Battery, Of A Police Officer","230000365"
"2023-01-01 00:00:00","2023-01-01 02:25:00","Tenderloin","Other Miscellaneous","Other Miscellaneous","Cite or Arrest Adult","Tenderloin","Resisting, Delaying, or Obstructing  Peace Officer Duties","230000365"
"2023-01-01 00:00:00","2023-01-01 02:25:00","Tenderloin","Non-Criminal","Non-Criminal","Cite or Arrest Adult","Tenderloin","Mental Health Detention","230000365"
"2023-01-01 00:00:00","2023-01-01 02:30:00","Treasure Island","Assault","Assault","Open or Active","Southern","Battery","230000434"
"2023-01-01 00:00:00","2023-01-01 02:30:00","Nob Hill","Assault","Assault","Open or Active","Central","Assault, Att. Homicide, W/ Knife","230000343"
"2023-01-01 00:00:00","2023-01-01 02:55:00","Financial District/South Beach","Warrant","Warrant","Cite or Arrest Adult","Tenderloin","Warrant Arrest, Enroute To Outside Jurisdiction","230000406"
"2023-01-01 00:00:00","2023-01-01 02:55:00","Financial District/South Beach","Assault","Assault","Cite or Arrest Adult","Tenderloin","Battery","230000406"
"2023-01-01 00:00:00","2023-01-01 02:56:00","Bayview Hunters Point","Malicious Mischief","Malicious Mischief","Cite or Arrest Adult","Bayview","Malicious Mischief, Vandalism to Vehicle","230000428"
"2023-01-01 00:00:00","2023-01-01 03:00:00","Tenderloin","Other","Other","Open or Active","Northern","Death Report, Cause Unknown","230001868"
"2023-01-01 00:00:00","2023-01-01 03:04:00","Outer Mission","Assault","Assault","Open or Active","Ingleside","Assault, Aggravated, W/ Gun","230000412"
"2023-01-01 00:00:00","2023-01-01 03:04:00","Outer Mission","Assault","Assault","Open or Active","Ingleside","Assault, Aggravated, W/ Gun","230000412"
"2023-01-01 00:00:00","2023-01-01 03:23:00","Japantown","Burglary","Burglary","Open or Active","Northern","Burglary, Store, Forcible Entry","230000503"
"2023-01-01 00:00:00","2023-01-01 03:30:00","Mission Bay","Other Miscellaneous","Other Miscellaneous","Cite or Arrest Adult","Southern","Burglary Tools, Possession Of","220782545"
"2023-01-01 00:00:00","2023-01-01 03:30:00","Mission Bay","Drug Offense","Drug Offense","Cite or Arrest Adult","Southern","Narcotics Paraphernalia, Possession of","220782545"
"2023-01-01 00:00:00","2023-01-01 03:30:00","Mission Bay","Drug Offense","Drug Offense","Cite or Arrest Adult","Southern","Methamphetamine Offense","220782545"
"2023-01-01 00:00:00","2023-01-01 03:51:00","Portola","Weapons Offense","Weapons Offense","Open or Active","Ingleside","Firearm, Discharging Within City Limits","230000440"
"2023-01-01 00:00:00","2023-01-01 04:20:00","Excelsior","Burglary","Burglary","Open or Active","Ingleside","Burglary, Hot Prowl, Att. Forcible Entry","230000672"
"2023-01-01 00:00:00","2023-01-01 04:30:00","Sunset/Parkside","Larceny Theft","Larceny Theft","Open or Active","Taraval","Theft, From Unlocked Vehicle, $200-$950","230000569"
"2023-01-01 00:00:00","2023-01-01 04:30:00","Portola","Larceny Theft","Larceny Theft","Open or Active","Bayview","Theft, Other Property, >$950","230001238"
"2023-01-01 00:00:00","2023-01-01 04:30:00","Sunset/Parkside","Burglary","Burglary","Open or Active","Taraval","Burglary, Apartment House, Unlawful Entry","230000569"
"2023-01-01 00:00:00","2023-01-01 04:52:00","Haight Ashbury","Burglary","Burglary","Open or Active","Park","Burglary, Residence, Forcible Entry","230003262"
"2023-01-01 00:00:00","2023-01-01 04:55:00","Sunset/Parkside","Assault","Assault","Open or Active","Taraval","Assault, Aggravated, W/ Other Weapon","230000525"
"2023-01-01 00:00:00","2023-01-01 05:08:00","Tenderloin","Non-Criminal","Non-Criminal","Cite or Arrest Adult","Tenderloin","Mental Health Detention","230000575"
"2023-01-01 00:00:00","2023-01-01 05:08:00","Tenderloin","Malicious Mischief","Malicious Mischief","Cite or Arrest Adult","Tenderloin","Malicious Mischief, Breaking Windows","230000575"
"2023-01-01 00:00:00","2023-01-01 05:30:00","Bayview Hunters Point","Malicious Mischief","Malicious Mischief","Open or Active","Bayview","Malicious Mischief, Vandalism to Vehicle","230000597"
"2023-01-01 00:00:00","2023-01-01 06:00:00","Tenderloin","Suspicious Occ","Suspicious Occ","Open or Active","Tenderloin","Suspicious Occurrence","230000898"
"2023-01-01 00:00:00","2023-01-01 06:00:00","Tenderloin","Other Miscellaneous","Other Miscellaneous","Open or Active","Tenderloin","Investigative Detention","230000898"
"2023-01-01 00:00:00","2023-01-01 06:12:00","Bernal Heights","Warrant","Warrant","Cite or Arrest Adult","Ingleside","Warrant Arrest, Enroute To Outside Jurisdiction","230000600"
"2023-01-01 00:00:00","2023-01-01 06:12:00","Bernal Heights","Drug Offense","Drug Offense","Cite or Arrest Adult","Ingleside","Methamphetamine Offense","230000600"
"2023-01-01 00:00:00","2023-01-01 06:42:00","Visitacion Valley","Fraud","Fraud","Open or Active","Ingleside","Fraudulent Game or Trick, Obtaining Money or Property","230005177"
"2023-01-01 00:00:00","2023-01-01 06:52:00","Castro/Upper Market","Assault","Assault","Open or Active","Mission","Assault, W/ Caustic Chemical to Injure or Disfigure","230000622"
"2023-01-01 00:00:00","2023-01-01 06:52:00","Castro/Upper Market","Larceny Theft","Larceny Theft","Open or Active","Mission","Theft, From Person, $50-$200 (other than Pickpocket)","230000622"
"2023-01-01 00:00:00","2023-01-01 06:57:00","Noe Valley","Non-Criminal","Non-Criminal","Open or Active","Ingleside","Mental Health Detention","230000644"
"2023-01-01 00:00:00","2023-01-01 07:00:00","Bayview Hunters Point","Fraud","Fraud","Open or Active","Bayview","Access Card, incl. Credit, Phone, ATM, Fraudulent Use of","230006153"
"2023-01-01 00:00:00","2023-01-01 08:40:00","Noe Valley","Non-Criminal","Non-Criminal","Open or Active","Mission","Aided Case, Injured or Sick Person","230000735"
"2023-01-01 00:00:00","2023-01-01 09:00:00","Golden Gate Park","Larceny Theft","Larceny Theft","Open or Active","Richmond","Theft, From Locked Vehicle, >$950","230000876"
"2023-01-01 00:00:00","2023-01-01 09:00:00","Golden Gate Park","Larceny Theft","Larceny Theft","Open or Active","Richmond","Theft, From Locked Vehicle, >$950","230000876"
"2023-01-01 00:00:00","2023-01-01 09:00:00","Golden Gate Park","Fraud","Fraud","Open or Active","Richmond","Access Card, incl. Credit, Phone, ATM, Fraudulent Use of","230000876"
"2023-01-01 00:00:00","2023-01-01 09:30:00","Tenderloin","Assault","Assault","Open or Active","Northern","Assault, Aggravated, W/ Other Weapon","230000779"
"2023-01-01 00:00:00","2023-01-01 09:30:00","Outer Richmond","Larceny Theft","Larceny Theft","Open or Active","Richmond","Theft, From Unlocked Vehicle, >$950","236000204"
"2023-01-01 00:00:00","2023-01-01 10:00:00","Hayes Valley","Larceny Theft","Larceny Theft","Open or Active","Southern","Theft, From Locked Vehicle, >$950","236000129"
"2023-01-01 00:00:00","2023-01-01 10:00:00","Bernal Heights","Larceny Theft","Larceny Theft","Open or Active","Bayview","License Plate, Stolen","230004191"
"2023-01-01 00:00:00","2023-01-01 10:00:00","North Beach","Larceny Theft","Larceny Theft","Open or Active","Central","Theft, From Locked Vehicle, $50-$200","230001363"
"2023-01-01 00:00:00","2023-01-01 10:26:00","Bayview Hunters Point","Motor Vehicle Theft","Motor Vehicle Theft","Cite or Arrest Adult","Bayview","Vehicle, Stolen, Truck","220857922"
"2023-01-01 00:00:00","2023-01-01 10:30:00","Tenderloin","Other Miscellaneous","Other Miscellaneous","Cite or Arrest Adult","Tenderloin","Threat or Force to Resist Executive Officer","230000848"
"2023-01-01 00:00:00","2023-01-01 10:30:00","Tenderloin","Warrant","Warrant","Cite or Arrest Adult","Tenderloin","Warrant Arrest, Enroute To Outside Jurisdiction","230000848"
"2023-01-01 00:00:00","2023-01-01 10:30:00","Tenderloin","Other Miscellaneous","Other Miscellaneous","Cite or Arrest Adult","Tenderloin","Burglary Tools, Possession Of","230000848"
"2023-01-01 00:00:00","2023-01-01 10:45:00","Twin Peaks","Larceny Theft","Larceny Theft","Open or Active","Park","Theft, From Locked Vehicle, >$950","230000939"
"2023-01-01 00:00:00","2023-01-01 10:46:00","Bayview Hunters Point","Suspicious Occ","Suspicious Occ","Open or Active","Bayview","Suspicious Occurrence","230000860"
"2023-01-01 00:00:00","2023-01-01 10:55:00","Inner Sunset","Larceny Theft","Larceny Theft","Open or Active","Taraval","Theft, From Locked Vehicle, $200-$950","230001006"
"2023-01-01 00:00:00","2023-01-01 11:00:00","Financial District/South Beach","Larceny Theft","Larceny Theft","Open or Active","Central","Theft, From Locked Vehicle, >$950","230001056"
"2023-01-01 00:00:00","2023-01-01 11:00:00","Twin Peaks","Larceny Theft","Larceny Theft","Open or Active","Park","Theft, From Locked Vehicle, >$950","230001040"
"2023-01-01 00:00:00","2023-01-01 11:18:00","Portola","Non-Criminal","Non-Criminal","Open or Active","Ingleside","Mental Health Detention","230000923"
"2023-01-01 00:00:00","2023-01-01 11:22:00","Excelsior","Recovered Vehicle","Recovered Vehicle","Open or Active","Ingleside","Vehicle, Recovered, Auto","230000882"
"2023-01-01 00:00:00","2023-01-01 11:30:00","Mission","Motor Vehicle Theft","Motor Vehicle Theft","Open or Active","Bayview","Vehicle, Stolen, Auto","230002032"
"2023-01-01 00:00:00","2023-01-01 11:30:00","Outer Richmond","Larceny Theft","Larceny Theft","Open or Active","Richmond","Theft, From Locked Vehicle, >$950","230001313"
"2023-01-01 00:00:00","2023-01-01 11:30:00","Marina","Larceny Theft","Larceny Theft","Open or Active","Northern","Theft, Other Property, >$950","236000282"
"2023-01-01 00:00:00","2023-01-01 11:30:00","Inner Richmond","Malicious Mischief","Malicious Mischief","Open or Active","Richmond","Malicious Mischief, Vandalism to Vehicle","230000989"
"2023-01-01 00:00:00","2023-01-01 11:50:00","Western Addition","Burglary","Burglary","Open or Active","Northern","Burglary, Apartment House, Forcible Entry","220891641"
"2023-01-01 00:00:00","2023-01-01 11:55:00","Financial District/South Beach","Assault","Assault","Cite or Arrest Adult","Central","Battery","230000973"
"2023-01-01 00:00:00","2023-01-01 12:00:00","North Beach","Larceny Theft","Larceny Theft","Open or Active","Central","Theft, From Locked Vehicle, >$950","230001523"
"2023-01-01 00:00:00","2023-01-01 12:00:00","Mission","Fraud","Fraud","Open or Active","Mission","Fraudulent Game or Trick, Obtaining Money or Property","230003068"
"2023-01-01 00:00:00","2023-01-01 12:00:00","Presidio Heights","Larceny Theft","Larceny Theft","Open or Active","Richmond","Theft, From Unlocked Vehicle, >$950","236000210"
"2023-01-01 00:00:00","2023-01-01 12:00:00","Tenderloin","Assault","Assault","Cite or Arrest Adult","Tenderloin","Battery","230007026"
"2023-01-01 00:00:00","2023-01-01 12:00:00","Sunset/Parkside","Motor Vehicle Theft","Motor Vehicle Theft","Open or Active","Taraval","Vehicle, Stolen, Truck","230005707"
"2023-01-01 00:00:00","2023-01-01 12:00:00","Tenderloin","Disorderly Conduct","Disorderly Conduct","Cite or Arrest Adult","Tenderloin","Terrorist Threats","230007026"
"2023-01-01 00:00:00","2023-01-01 12:10:00","Japantown","Larceny Theft","Larceny Theft","Open or Active","Northern","Theft, From Locked Vehicle, >$950","236000276"
"2023-01-01 00:00:00","2023-01-01 12:10:00","Marina","Larceny Theft","Larceny Theft","Open or Active","Northern","Theft, From Locked Vehicle, $200-$950","230001335"
"2023-01-01 00:00:00","2023-01-01 12:15:00","North Beach","Larceny Theft","Larceny Theft","Open or Active","Central","Theft, From Locked Vehicle, >$950","230001539"
"2023-01-01 00:00:00","2023-01-01 12:20:00","Marina","Larceny Theft","Larceny Theft","Open or Active","Northern","Theft, From Locked Vehicle, $200-$950","230001062"
"2023-01-01 00:00:00","2023-01-01 12:30:00","Hayes Valley","Larceny Theft","Larceny Theft","Open or Active","Northern","Theft, From Locked Vehicle, <$50","230001197"
"2023-01-01 00:00:00","2023-01-01 12:30:00","Tenderloin","Larceny Theft","Larceny Theft","Open or Active","Tenderloin","Theft, Other Property, $200-$950","230001084"
"2023-01-01 00:00:00","2023-01-01 12:35:00","West of Twin Peaks","Recovered Vehicle","Recovered Vehicle","Open or Active","Ingleside","Vehicle, Recovered, Auto","220798558"
"2023-01-01 00:00:00","2023-01-01 12:52:00","Pacific Heights","Suspicious Occ","Suspicious Occ","Open or Active","Richmond","Suspicious Occurrence","230001482"
"2023-01-01 00:00:00","2023-01-01 13:00:00","Tenderloin","Larceny Theft","Larceny Theft","Cite or Arrest Adult","Central","Theft, Shoplifting, $200-$950","230001410"
"2023-01-01 00:00:00","2023-01-01 13:00:00","Russian Hill","Larceny Theft","Larceny Theft","Open or Active","Central","Theft, From Locked Vehicle, >$950","230001294"
"2023-01-01 00:00:00","2023-01-01 13:00:00","South of Market","Burglary","Burglary","Open or Active","Southern","Burglary, Apartment House, Unlawful Entry","230002010"
"2023-01-01 00:00:00","2023-01-01 13:00:00","Inner Richmond","Larceny Theft","Larceny Theft","Open or Active","Richmond","Theft, From Locked Vehicle, $50-$200","230005086"
"2023-01-01 00:00:00","2023-01-01 13:06:00","Tenderloin","Warrant","Warrant","Cite or Arrest Adult","Tenderloin","Warrant Arrest, Local SF Warrant","230001153"
"2023-01-01 00:00:00","2023-01-01 13:06:00","Tenderloin","Drug Offense","Drug Offense","Cite or Arrest Adult","Tenderloin","Opiates Offense","230001153"
"2023-01-01 00:00:00","2023-01-01 13:06:00","Tenderloin","Other Miscellaneous","Other Miscellaneous","Cite or Arrest Adult","Tenderloin","Resisting, Delaying, or Obstructing  Peace Officer Duties","230001153"
"2023-01-01 00:00:00","2023-01-01 13:19:00","Hayes Valley","Larceny Theft","Larceny Theft","Open or Active","Northern","Theft, From Locked Vehicle, >$950","230001341"
"2023-01-01 00:00:00","2023-01-01 13:20:00","Marina","Larceny Theft","Larceny Theft","Open or Active","Northern","Theft, Bicycle, >$950","230001222"
"2023-01-01 00:00:00","2023-01-01 13:20:00","Marina","Larceny Theft","Larceny Theft","Open or Active","Northern","Theft, Other Property, >$950","230001222"
"2023-01-01 00:00:00","2023-01-01 13:30:00","Sunset/Parkside","Larceny Theft","Larceny Theft","Open or Active","Taraval","Theft, From Locked Vehicle, >$950","236000345"
"2023-01-01 00:00:00","2023-01-01 13:30:00","Bayview Hunters Point","Larceny Theft","Larceny Theft","Open or Active","Central","Theft, From Locked Vehicle, >$950","230002151"
"2023-01-01 00:00:00","2023-01-01 13:46:00","Bayview Hunters Point","Recovered Vehicle","Recovered Vehicle","Cite or Arrest Adult","Bayview","Vehicle, Recovered, Auto","230000296"
"2023-01-01 00:00:00","2023-01-01 13:50:00","Financial District/South Beach","Assault","Assault","Open or Active","Tenderloin","Battery","230001266"
"2023-01-01 00:00:00","2023-01-01 13:52:00","Bayview Hunters Point","Other Miscellaneous","Other Miscellaneous","Cite or Arrest Adult","Bayview","Resisting, Delaying, or Obstructing  Peace Officer Duties","230001288"
"2023-01-01 00:00:00","2023-01-01 13:52:00","Bayview Hunters Point","Burglary","Burglary","Cite or Arrest Adult","Bayview","Burglary, Hot Prowl, Unlawful Entry","230001288"
"2023-01-01 00:00:00","2023-01-01 14:00:00","Lakeshore","Larceny Theft","Larceny Theft","Open or Active","Taraval","Theft, Vehicle Strip, >$950","230005224"
"2023-01-01 00:00:00","2023-01-01 14:00:00","Portola","Assault","Assault","Open or Active","Bayview","Battery","230001448"
"2023-01-01 00:00:00","2023-01-01 14:00:00","Tenderloin","Burglary","Burglary","Open or Active","Tenderloin","Burglary, Apartment House, Unlawful Entry","230004317"
"2023-01-01 00:00:00","2023-01-01 14:00:00","Lincoln Park","Larceny Theft","Larceny Theft","Open or Active","Richmond","Theft, From Locked Vehicle, <$50","230001357"
"2023-01-01 00:00:00","2023-01-01 14:00:00","Portola","Non-Criminal","Non-Criminal","Open or Active","Bayview","Mental Health Detention","230001448"
"2023-01-01 00:00:00","2023-01-01 14:20:00","North Beach","Larceny Theft","Larceny Theft","Open or Active","Central","Theft, Pickpocket, $50-$200","230001379"
"2023-01-01 00:00:00","2023-01-01 14:27:00","Visitacion Valley","Other Offenses","Other Offenses","Open or Active","Taraval","License Plate, Recovered","220884577"
"2023-01-01 00:00:00","2023-01-01 14:30:00","North Beach","Non-Criminal","Non-Criminal","Open or Active","Central","Found  Property","230002872"
"2023-01-01 00:00:00","2023-01-01 14:30:00","Oceanview/Merced/Ingleside","Other Offenses","Other Offenses","Open or Active","Taraval","License Plate, Recovered","220809412"
"2023-01-01 00:00:00","2023-01-01 14:45:00","Russian Hill","Malicious Mischief","Malicious Mischief","Open or Active","Central","Malicious Mischief, Vandalism to Vehicle","230001824"
"2023-01-01 00:00:00","2023-01-01 14:46:00","Bernal Heights","Assault","Assault","Open or Active","Bayview","Battery","230001426"
"2023-01-01 00:00:00","2023-01-01 14:51:00","Tenderloin","Drug Offense","Drug Offense","Cite or Arrest Adult","Tenderloin","Opiates, Possession For Sale","230001385"
"2023-01-01 00:00:00","2023-01-01 14:51:00","Tenderloin","Drug Offense","Drug Offense","Cite or Arrest Adult","Tenderloin","Heroin, Possession For Sale","230001385"
"2023-01-01 00:00:00","2023-01-01 14:51:00","Tenderloin","Drug Offense","Drug Offense","Cite or Arrest Adult","Tenderloin","Methamphetamine, Possession For Sale","230001385"
"2023-01-01 00:00:00","2023-01-01 15:00:00","Bayview Hunters Point","Missing Person","Missing Person","Open or Active","Bayview","Found Person","230002571"
"2023-01-01 00:00:00","2023-01-01 15:00:00","Bayview Hunters Point","Missing Person","Missing Person","Open or Active","Bayview","Missing Adult","230002571"
"2023-01-01 00:00:00","2023-01-01 15:12:00","Excelsior","Miscellaneous Investigation","Miscellaneous Investigation","Open or Active","Ingleside","Miscellaneous Investigation","230001589"
"2023-01-01 00:00:00","2023-01-01 15:12:00","Excelsior","Assault","Assault","Open or Active","Ingleside","Battery","230001589"
"2023-01-01 00:00:00","2023-01-01 15:16:00","Tenderloin","Drug Offense","Drug Offense","Cite or Arrest Adult","Tenderloin","Methamphetamine, Possession For Sale","230001476"
"2023-01-01 00:00:00","2023-01-01 15:16:00","Tenderloin","Drug Offense","Drug Offense","Cite or Arrest Adult","Tenderloin","Cocaine, Base/rock, Possession For Sale","230001476"
"2023-01-01 00:00:00","2023-01-01 15:16:00","Tenderloin","Drug Offense","Drug Offense","Cite or Arrest Adult","Tenderloin","Heroin, Possession For Sale","230001476"
"2023-01-01 00:00:00","2023-01-01 15:26:00","Visitacion Valley","Drug Offense","Drug Offense","Cite or Arrest Adult","Ingleside","Methamphetamine Offense","230001993"
"2023-01-01 00:00:00","2023-01-01 15:26:00","Visitacion Valley","Offences Against The Family And Children","Offences Against The Family And Children","Cite or Arrest Adult","Ingleside","Violation of Restraining Order","230001993"
"2023-01-01 00:00:00","2023-01-01 16:00:00","Castro/Upper Market","Larceny Theft","Larceny Theft","Open or Active","Mission","Theft, From Locked Vehicle, $200-$950","230001664"
"2023-01-01 00:00:00","2023-01-01 16:06:00","Financial District/South Beach","Motor Vehicle Theft","Motor Vehicle Theft","Open or Active","Central","Vehicle, Stolen, Auto","230003046"
"2023-01-01 00:00:00","2023-01-01 16:06:00","Financial District/South Beach","Motor Vehicle Theft","Motor Vehicle Theft","Open or Active","Central","Vehicle, Stolen, Auto","230003046"
"2023-01-01 00:00:00","2023-01-01 16:28:00","Tenderloin","Recovered Vehicle","Recovered Vehicle","Open or Active","Out of SF","Vehicle, Recovered, Auto","230001658"
"2023-01-01 00:00:00","2023-01-01 16:30:00","Mission","Larceny Theft","Larceny Theft","Open or Active","Mission","Theft, Other Property, >$950","236000163"
"2023-01-01 00:00:00","2023-01-01 16:30:00","North Beach","Larceny Theft","Larceny Theft","Open or Active","Central","Theft, From Locked Vehicle, >$950","230001880"
"2023-01-01 00:00:00","2023-01-01 16:37:00","Mission","Other Miscellaneous","Other Miscellaneous","Unfounded","Mission","Investigative Detention","230001686"
"2023-01-01 00:00:00","2023-01-01 16:45:00","Castro/Upper Market","Missing Person","Missing Person","Open or Active","Mission","Found Person","230001959"
"2023-01-01 00:00:00","2023-01-01 16:45:00","Castro/Upper Market","Missing Person","Missing Person","Open or Active","Mission","Missing Adult","230001959"
"2023-01-01 00:00:00","2023-01-01 16:49:00","Mission","Other Miscellaneous","Other Miscellaneous","Open or Active","Mission","Investigative Detention","230001705"
