"incident_date","incident_datetime","analysis_neighborhood","incident_category","incident_category","resolution","police_district","incident_description","incident_number"
"2022-10-04 00:00:00","2022-10-04 12:00:00","Castro/Upper Market","Malicious Mischief","Malicious Mischief","Open or Active","Mission","Malicious Mischief, Vandalism to Vehicle","220683385"
"2022-10-04 00:00:00","2022-10-04 12:00:00","Mission","Motor Vehicle Theft","Motor Vehicle Theft","Open or Active","Mission","Vehicle, Stolen, Auto","220683921"
"2022-10-04 00:00:00","2022-10-04 12:00:00","Tenderloin","Drug Offense","Drug Offense","Cite or Arrest Adult","Tenderloin","Cocaine, Base/rock, Possession For Sale","220680187"
"2022-10-04 00:00:00","2022-10-04 12:00:00","South of Market","Miscellaneous Investigation","Miscellaneous Investigation","Exceptional Adult","Southern","Miscellaneous Investigation","220395148"
"2022-10-04 00:00:00","2022-10-04 12:00:00","Western Addition","Motor Vehicle Theft","Motor Vehicle Theft","Open or Active","Northern","Vehicle, Stolen, Truck","220688147"
"2022-10-04 00:00:00","2022-10-04 12:00:00","Mission","Missing Person","Missing Person","Open or Active","Mission","Missing Adult","220684220"
"2022-10-04 00:00:00","2022-10-04 12:00:00","Haight Ashbury","Forgery And Counterfeiting","Forgery And Counterfeiting","Open or Active","Northern","Checks, Blank or Forged, Fraudulent Possession","220666858"
"2022-10-04 00:00:00","2022-10-04 12:00:00","Excelsior","Forgery And Counterfeiting","Forgery And Counterfeiting","Open or Active","Ingleside","Counterfeit Coins Or Notes, Possessing or Receiving","220678063"
"2022-10-04 00:00:00","2022-10-04 12:00:00","Haight Ashbury","Fraud","Fraud","Open or Active","Northern","False Personation to Receive Money or Property","220666858"
"2022-10-04 00:00:00","2022-10-04 12:00:00","Tenderloin","Suspicious Occ","Suspicious Occ","Open or Active","Out of SF","Suspicious Occurrence","220686389"
"2022-10-04 00:00:00","2022-10-04 12:00:00","Haight Ashbury","Forgery And Counterfeiting","Forgery And Counterfeiting","Open or Active","Northern","Forgery, Checks, Felony","220666858"
"2022-10-04 00:00:00","2022-10-04 12:01:00","South of Market","Other Miscellaneous","Other Miscellaneous","Open or Active","Southern","Investigative Detention","220680284"
"2022-10-04 00:00:00","2022-10-04 12:01:00","Tenderloin","Suspicious Occ","Suspicious Occ","Open or Active","Tenderloin","Suspicious Occurrence","220680262"
"2022-10-04 00:00:00","2022-10-04 12:17:00","Inner Richmond","Larceny Theft","Larceny Theft","Open or Active","Richmond","Theft, Other Property, $50-$200","220681624"
"2022-10-04 00:00:00","2022-10-04 12:36:00","Bayview Hunters Point","Recovered Vehicle","Recovered Vehicle","Open or Active","Bayview","Vehicle, Recovered, Auto","220679635"
"2022-10-04 00:00:00","2022-10-04 12:36:00","Financial District/South Beach","Other Miscellaneous","Other Miscellaneous","Open or Active","Southern","Bomb Threat or False Report of Bomb","220680466"
"2022-10-04 00:00:00","2022-10-04 12:57:00","Mission","Non-Criminal","Non-Criminal","Open or Active","Mission","Aided Case","220674964"
"2022-10-04 00:00:00","2022-10-04 12:57:00","Mission","Burglary","Burglary","Open or Active","Mission","Burglary, Non-residential, Forcible Entry","220674964"
"2022-10-04 00:00:00","2022-10-04 12:58:00","Visitacion Valley","Recovered Vehicle","Recovered Vehicle","Open or Active","Ingleside","Vehicle, Recovered, Auto","220623507"
"2022-10-04 00:00:00","2022-10-04 13:00:00","Mission","Suspicious Occ","Suspicious Occ","Open or Active","Mission","Suspicious Act Towards Female","220681577"
"2022-10-04 00:00:00","2022-10-04 13:00:00","Lakeshore","Fraud","Fraud","Open or Active","Taraval","False Personation to Receive Money or Property","220680933"
"2022-10-04 00:00:00","2022-10-04 13:00:00","Lakeshore","Fraud","Fraud","Open or Active","Taraval","Access Card, incl. Credit, Phone, ATM, Fraudulent Use of","220680933"
"2022-10-04 00:00:00","2022-10-04 13:00:00","Lakeshore","Larceny Theft","Larceny Theft","Open or Active","Taraval","Theft, From Locked Vehicle, >$950","220680933"
"2022-10-04 00:00:00","2022-10-04 13:03:00","South of Market","Non-Criminal","Non-Criminal","Unfounded","Southern","Search Warrant Service","220659922"
"2022-10-04 00:00:00","2022-10-04 13:03:00","South of Market","Other Miscellaneous","Other Miscellaneous","Unfounded","Southern","Investigative Detention","220659922"
"2022-10-04 00:00:00","2022-10-04 13:06:00","Mission Bay","Larceny Theft","Larceny Theft","Open or Active","Southern","Theft, Shoplifting, >$950","220684060"
"2022-10-04 00:00:00","2022-10-04 13:13:00","Tenderloin","Non-Criminal","Non-Criminal","Open or Active","Tenderloin","Found  Property","220680535"
"2022-10-04 00:00:00","2022-10-04 13:17:00","South of Market","Other","Other","Open or Active","Tenderloin","Death Report, Cause Unknown","220680745"
"2022-10-04 00:00:00","2022-10-04 13:20:00","Bayview Hunters Point","Recovered Vehicle","Recovered Vehicle","Open or Active","Bayview","Vehicle, Recovered, Truck","220605044"
"2022-10-04 00:00:00","2022-10-04 13:23:00","Lakeshore","Miscellaneous Investigation","Miscellaneous Investigation","Open or Active","Taraval","Miscellaneous Investigation","220680682"
"2022-10-04 00:00:00","2022-10-04 13:30:00","Lone Mountain/USF","Larceny Theft","Larceny Theft","Open or Active","Northern","Theft, From Locked Vehicle, >$950","226182527"
"2022-10-04 00:00:00","2022-10-04 13:30:00","Hayes Valley","Larceny Theft","Larceny Theft","Open or Active","Northern","Looting during State of Emergency","220694304"
"2022-10-04 00:00:00","2022-10-04 13:30:00","Castro/Upper Market","Robbery","Robbery","Open or Active","Mission","Robbery, W/ Force","220688460"
"2022-10-04 00:00:00","2022-10-04 13:30:00","Hayes Valley","Burglary","Burglary","Open or Active","Northern","Burglary, Flat, Unlawful Entry","220694304"
"2022-10-04 00:00:00","2022-10-04 13:35:00","Outer Mission","Robbery","Robbery","Open or Active","Ingleside","Robbery, Street or Public Place, W/ Force","220680698"
"2022-10-04 00:00:00","2022-10-04 13:55:00","Lone Mountain/USF","Non-Criminal","Non-Criminal","Cite or Arrest Adult","Park","Search Warrant Service","220641355"
"2022-10-04 00:00:00","2022-10-04 13:55:00","Lone Mountain/USF","Burglary","Burglary","Cite or Arrest Adult","Park","Burglary, Hot Prowl, Unlawful Entry","220641355"
"2022-10-04 00:00:00","2022-10-04 14:01:00","Bayview Hunters Point","Motor Vehicle Theft","Motor Vehicle Theft","Open or Active","Bayview","Vehicle, Recovered, Stolen outside SF","220680789"
"2022-10-04 00:00:00","2022-10-04 14:15:00","Financial District/South Beach","Disorderly Conduct","Disorderly Conduct","Open or Active","Central","Terrorist Threats","220682616"
"2022-10-04 00:00:00","2022-10-04 14:19:00","Treasure Island","Non-Criminal","Non-Criminal","Open or Active","Southern","Mental Health Detention","220680814"
"2022-10-04 00:00:00","2022-10-04 14:21:00","Mission","Robbery","Robbery","Open or Active","Mission","Carjacking with a Gun","220666137"
"2022-10-04 00:00:00","2022-10-04 15:00:00","Russian Hill","Offences Against The Family And Children","Offences Against The Family And Children","Open or Active","Northern","Violation of Restraining Order","220681204"
"2022-10-04 00:00:00","2022-10-04 15:00:00","Chinatown","Lost Property","Lost Property","Open or Active","Out of SF","Lost Property","220683711"
"2022-10-04 00:00:00","2022-10-04 15:00:00","Chinatown","Larceny Theft","Larceny Theft","Open or Active","Central","License Plate, Stolen","220682860"
"2022-10-04 00:00:00","2022-10-04 15:00:00","Nob Hill","Larceny Theft","Larceny Theft","Open or Active","Central","Theft, Other Property, >$950","226182743"
"2022-10-04 00:00:00","2022-10-04 15:00:00","Mission","Larceny Theft","Larceny Theft","Open or Active","Mission","Theft, From Locked Vehicle, >$950","220681163"
"2022-10-04 00:00:00","2022-10-04 15:00:00","Chinatown","Courtesy Report","Courtesy Report","Open or Active","Out of SF","Courtesy Report","220683711"
"2022-10-04 00:00:00","2022-10-04 15:20:00","Financial District/South Beach","Assault","Assault","Open or Active","Central","Battery","220681022"
"2022-10-04 00:00:00","2022-10-04 15:22:00","Bayview Hunters Point","Non-Criminal","Non-Criminal","Open or Active","Bayview","Found  Property","220680911"
"2022-10-04 00:00:00","2022-10-04 15:24:00","Haight Ashbury","Other Miscellaneous","Other Miscellaneous","Cite or Arrest Adult","Park","State Code Misdemeanor (general)","220680949"
"2022-10-04 00:00:00","2022-10-04 15:24:00","Haight Ashbury","Other Miscellaneous","Other Miscellaneous","Cite or Arrest Adult","Park","Conspiracy","220680949"
"2022-10-04 00:00:00","2022-10-04 15:24:00","Haight Ashbury","Assault","Assault","Cite or Arrest Adult","Park","Assault, Aggravated, W/ Other Weapon","220680949"
"2022-10-04 00:00:00","2022-10-04 15:30:00","Bernal Heights","Motor Vehicle Theft","Motor Vehicle Theft","Open or Active","Ingleside","Vehicle, Stolen, Truck","220681668"
"2022-10-04 00:00:00","2022-10-04 15:42:00","Potrero Hill","Non-Criminal","Non-Criminal","Open or Active","Bayview","Mental Health Detention","220681191"
"2022-10-04 00:00:00","2022-10-04 15:50:00","Noe Valley","Disorderly Conduct","Disorderly Conduct","Open or Active","Mission","School Property, Disturbance on","220681129"
"2022-10-04 00:00:00","2022-10-04 15:50:00","Noe Valley","Non-Criminal","Non-Criminal","Open or Active","Mission","Mental Health Detention","220681129"
"2022-10-04 00:00:00","2022-10-04 15:53:00","Tenderloin","Other Miscellaneous","Other Miscellaneous","Cite or Arrest Adult","Tenderloin","Resisting, Delaying, or Obstructing  Peace Officer Duties","220680999"
"2022-10-04 00:00:00","2022-10-04 15:53:00","Tenderloin","Assault","Assault","Cite or Arrest Adult","Tenderloin","Battery, Of A Police Officer","220680999"
"2022-10-04 00:00:00","2022-10-04 15:53:00","Tenderloin","Traffic Violation Arrest","Traffic Violation Arrest","Cite or Arrest Adult","Tenderloin","Traffic Violation Arrest","220680999"
"2022-10-04 00:00:00","2022-10-04 15:59:00","Russian Hill","Disorderly Conduct","Disorderly Conduct","Open or Active","Northern","Incident On School Grounds","220681464"
"2022-10-04 00:00:00","2022-10-04 15:59:00","Russian Hill","Larceny Theft","Larceny Theft","Open or Active","Northern","Theft, Pickpocket, >$950","220681464"
"2022-10-04 00:00:00","2022-10-04 16:00:00","Mission","Larceny Theft","Larceny Theft","Open or Active","Mission","Theft, From Locked Vehicle, >$950","220684559"
"2022-10-04 00:00:00","2022-10-04 16:00:00","Financial District/South Beach","Lost Property","Lost Property","Open or Active","Central","Lost Property","226182969"
"2022-10-04 00:00:00","2022-10-04 16:00:00","Mission Bay","Motor Vehicle Theft","Motor Vehicle Theft","Open or Active","Southern","Vehicle, Stolen, Auto","220682876"
"2022-10-04 00:00:00","2022-10-04 16:00:00","Mission","Larceny Theft","Larceny Theft","Open or Active","Mission","Theft, Grand, of Firearm","220684559"
"2022-10-04 00:00:00","2022-10-04 16:06:00","Bernal Heights","Recovered Vehicle","Recovered Vehicle","Open or Active","Ingleside","Vehicle, Recovered, Truck","220645501"
"2022-10-04 00:00:00","2022-10-04 16:13:00","Castro/Upper Market","Other Miscellaneous","Other Miscellaneous","Open or Active","Mission","Investigative Detention","220681107"
"2022-10-04 00:00:00","2022-10-04 16:13:00","Castro/Upper Market","Disorderly Conduct","Disorderly Conduct","Open or Active","Mission","Terrorist Threats","220681107"
"2022-10-04 00:00:00","2022-10-04 16:20:00","Financial District/South Beach","Assault","Assault","Open or Active","Southern","Battery","220681135"
"2022-10-04 00:00:00","2022-10-04 16:20:00","Financial District/South Beach","Miscellaneous Investigation","Miscellaneous Investigation","Open or Active","Southern","Demonstration, Video Evidence, Misc Investigation","220681135"
"2022-10-04 00:00:00","2022-10-04 16:20:00","North Beach","Larceny Theft","Larceny Theft","Open or Active","Central","Theft, From Locked Vehicle, >$950","226182771"
"2022-10-04 00:00:00","2022-10-04 16:29:00","Visitacion Valley","Other Miscellaneous","Other Miscellaneous","Open or Active","Ingleside","False Imprisonment","220010158"
"2022-10-04 00:00:00","2022-10-04 16:29:00","Visitacion Valley","Suspicious Occ","Suspicious Occ","Open or Active","Ingleside","Suspicious Act Towards Female","220010158"
"2022-10-04 00:00:00","2022-10-04 16:29:00","Visitacion Valley","Assault","Assault","Open or Active","Ingleside","Assault to Commit Mayhem or Specific Sex Offenses","220010158"
"2022-10-04 00:00:00","2022-10-04 16:30:00","Inner Richmond","Larceny Theft","Larceny Theft","Open or Active","Richmond","Theft, From Locked Vehicle, >$950","220681301"
"2022-10-04 00:00:00","2022-10-04 16:30:00","Hayes Valley","Lost Property","Lost Property","Open or Active","Southern","Lost Property","220681436"
"2022-10-04 00:00:00","2022-10-04 16:32:00","Tenderloin","Drug Offense","Drug Offense","Cite or Arrest Adult","Tenderloin","Cocaine, Base/rock Offense","220681094"
"2022-10-04 00:00:00","2022-10-04 16:37:00","Mission","Larceny Theft","Larceny Theft","Open or Active","Mission","Theft, Vehicle Strip, $50-$200","220681088"
"2022-10-04 00:00:00","2022-10-04 17:00:00","Tenderloin","Disorderly Conduct","Disorderly Conduct","Cite or Arrest Adult","Central","Terrorist Threats","220681232"
"2022-10-04 00:00:00","2022-10-04 17:00:00","Presidio Heights","Malicious Mischief","Malicious Mischief","Open or Active","Richmond","Malicious Mischief, Vandalism to Property","220684355"
"2022-10-04 00:00:00","2022-10-04 17:00:00","North Beach","Larceny Theft","Larceny Theft","Open or Active","Central","Theft, From Locked Vehicle, $200-$950","220681969"
"2022-10-04 00:00:00","2022-10-04 17:00:00","Bayview Hunters Point","Malicious Mischief","Malicious Mischief","Open or Active","Bayview","Malicious Mischief, Vandalism to Vehicle","220684402"
"2022-10-04 00:00:00","2022-10-04 17:00:00","Noe Valley","Larceny Theft","Larceny Theft","Open or Active","Ingleside","Theft, Vehicle Strip, >$950","220684640"
"2022-10-04 00:00:00","2022-10-04 17:00:00","Tenderloin","Non-Criminal","Non-Criminal","Cite or Arrest Adult","Central","Mental Health Detention","220681232"
"2022-10-04 00:00:00","2022-10-04 17:00:00","Mission","Assault","Assault","Open or Active","Mission","Battery","220681743"
"2022-10-04 00:00:00","2022-10-04 17:00:00","Tenderloin","Robbery","Robbery","Cite or Arrest Adult","Central","Shoplifting, Force against Agent","220681232"
"2022-10-04 00:00:00","2022-10-04 17:00:00","Inner Richmond","Larceny Theft","Larceny Theft","Open or Active","Richmond","License Plate, Stolen","220686947"
"2022-10-04 00:00:00","2022-10-04 17:00:00","Japantown","Sex Offense","Sex Offense","Open or Active","Northern","Indecent Exposure (Adult victim)","220690722"
"2022-10-04 00:00:00","2022-10-04 17:00:00","Russian Hill","Non-Criminal","Non-Criminal","Open or Active","Central","Dog, Bite or Attack","220686721"
"2022-10-04 00:00:00","2022-10-04 17:08:00","West of Twin Peaks","Burglary","Burglary","Open or Active","Taraval","Burglary, Store, Unlawful Entry","220682412"
"2022-10-04 00:00:00","2022-10-04 17:15:00","Financial District/South Beach","Other","Other","Open or Active","Southern","Death Report, Cause Unknown","220681260"
"2022-10-04 00:00:00","2022-10-04 17:16:00","Tenderloin","Fraud","Fraud","Open or Active","Tenderloin","False Personation","220681317"
"2022-10-04 00:00:00","2022-10-04 17:16:00","Tenderloin","Missing Person","Missing Person","Open or Active","Tenderloin","Found Person","220681317"
"2022-10-04 00:00:00","2022-10-04 17:17:00","South of Market","Drug Offense","Drug Offense","Cite or Arrest Adult","Southern","Controlled Substance, Sale","220681226"
"2022-10-04 00:00:00","2022-10-04 17:17:00","South of Market","Drug Offense","Drug Offense","Cite or Arrest Adult","Southern","Controlled Substance, Possession For Sale","220681226"
"2022-10-04 00:00:00","2022-10-04 17:17:00","South of Market","Other Miscellaneous","Other Miscellaneous","Cite or Arrest Adult","Southern","Conspiracy","220681226"
"2022-10-04 00:00:00","2022-10-04 17:20:00","Financial District/South Beach","Larceny Theft","Larceny Theft","Open or Active","Southern","Theft, From Person, >$950 (other than Pickpocket)","220681210"
"2022-10-04 00:00:00","2022-10-04 17:23:00","Excelsior","Other Miscellaneous","Other Miscellaneous","Open or Active","Bayview","Investigative Detention","220677479"
"2022-10-04 00:00:00","2022-10-04 17:23:00","Excelsior","Traffic Collision","Traffic Collision","Open or Active","Bayview","Traffic Collision, Hit & Run, Injury","220677479"
"2022-10-04 00:00:00","2022-10-04 17:30:00","Financial District/South Beach","Larceny Theft","Larceny Theft","Open or Active","Southern","Theft, From Locked Vehicle, $200-$950","220681834"
"2022-10-04 00:00:00","2022-10-04 17:30:00","Inner Richmond","Malicious Mischief","Malicious Mischief","Open or Active","Richmond","Malicious Mischief, Vandalism to Vehicle","220681903"
"2022-10-04 00:00:00","2022-10-04 17:30:00","North Beach","Larceny Theft","Larceny Theft","Open or Active","Central","Theft, Other Property, $50-$200","226182765"
"2022-10-04 00:00:00","2022-10-04 17:45:00","Financial District/South Beach","Fraud","Fraud","Open or Active","Central","False Personation to Receive Money or Property","220683197"
"2022-10-04 00:00:00","2022-10-04 17:55:00","Russian Hill","Fraud","Fraud","Open or Active","Central","Access Card, incl. Credit, Phone, ATM, Fraudulent Use of","226182737"
"2022-10-04 00:00:00","2022-10-04 18:00:00","Inner Sunset","Larceny Theft","Larceny Theft","Open or Active","Taraval","Theft, From Unlocked Vehicle, >$950","226183155"
"2022-10-04 00:00:00","2022-10-04 18:00:00","Mission","Larceny Theft","Larceny Theft","Open or Active","Mission","Theft, Other Property, $50-$200","220685579"
"2022-10-04 00:00:00","2022-10-04 18:05:00","Tenderloin","Disorderly Conduct","Disorderly Conduct","Open or Active","Tenderloin","Public Nuisance, Committing","220681561"
"2022-10-04 00:00:00","2022-10-04 18:18:00","Tenderloin","Drug Offense","Drug Offense","Cite or Arrest Adult","Tenderloin","Controlled Substance, Possession For Sale","220681345"
"2022-10-04 00:00:00","2022-10-04 18:18:00","Tenderloin","Drug Offense","Drug Offense","Cite or Arrest Adult","Tenderloin","Methadone, Possession For Sale","220681345"
"2022-10-04 00:00:00","2022-10-04 18:18:00","Tenderloin","Drug Offense","Drug Offense","Cite or Arrest Adult","Tenderloin","Controlled Substance, Sale","220681345"
"2022-10-04 00:00:00","2022-10-04 18:30:00","Hayes Valley","Non-Criminal","Non-Criminal","Open or Active","Northern","Dog, Bite or Attack","220681408"
"2022-10-04 00:00:00","2022-10-04 18:30:00","Presidio","Larceny Theft","Larceny Theft","Open or Active","Northern","Theft, From Locked Vehicle, >$950","220681947"
"2022-10-04 00:00:00","2022-10-04 18:39:00","Mission","Non-Criminal","Non-Criminal","Open or Active","Mission","Found  Property","220681492"
"2022-10-04 00:00:00","2022-10-04 18:41:00","Potrero Hill","Other Miscellaneous","Other Miscellaneous","Open or Active","Southern","Trespassing","220701959"
"2022-10-04 00:00:00","2022-10-04 18:45:00","North Beach","Malicious Mischief","Malicious Mischief","Open or Active","Central","Malicious Mischief, Vandalism to Vehicle","220681953"
"2022-10-04 00:00:00","2022-10-04 18:45:00","Tenderloin","Other Miscellaneous","Other Miscellaneous","Cite or Arrest Adult","Tenderloin","Resisting, Delaying, or Obstructing  Peace Officer Duties","220681414"
"2022-10-04 00:00:00","2022-10-04 18:45:00","Tenderloin","Drug Offense","Drug Offense","Cite or Arrest Adult","Tenderloin","Methamphetamine, Sale","220681414"
"2022-10-04 00:00:00","2022-10-04 18:45:00","Tenderloin","Drug Offense","Drug Offense","Cite or Arrest Adult","Tenderloin","Cocaine, Base/rock, Possession For Sale","220681414"
"2022-10-04 00:00:00","2022-10-04 19:00:00","Castro/Upper Market","Malicious Mischief","Malicious Mischief","Open or Active","Mission","Malicious Mischief, Vandalism to Property","220682581"
"2022-10-04 00:00:00","2022-10-04 19:00:00","Castro/Upper Market","Burglary","Burglary","Open or Active","Mission","Burglary, Residence, Att. Forcible Entry","220682581"
"2022-10-04 00:00:00","2022-10-04 19:00:00","Marina","Motor Vehicle Theft","Motor Vehicle Theft","Open or Active","Northern","Vehicle, Stolen, Auto","220682741"
"2022-10-04 00:00:00","2022-10-04 19:00:00","South of Market","Malicious Mischief","Malicious Mischief","Open or Active","Southern","Malicious Mischief, Vandalism to Vehicle","220682666"
"2022-10-04 00:00:00","2022-10-04 19:00:00","South of Market","Suspicious Occ","Suspicious Occ","Open or Active","Southern","Suspicious Occurrence","220685143"
"2022-10-04 00:00:00","2022-10-04 19:00:00","Pacific Heights","Larceny Theft","Larceny Theft","Open or Active","Northern","Theft, Other Property, >$950","226183359"
"2022-10-04 00:00:00","2022-10-04 19:10:00","West of Twin Peaks","Fraud","Fraud","Open or Active","Taraval","Privacy, Invasion of  (general)","220695374"
"2022-10-04 00:00:00","2022-10-04 19:10:00","West of Twin Peaks","Other Miscellaneous","Other Miscellaneous","Open or Active","Taraval","Trespassing","220695374"
"2022-10-04 00:00:00","2022-10-04 19:10:00","West of Twin Peaks","Suspicious Occ","Suspicious Occ","Open or Active","Taraval","Suspicious Person","220695374"
"2022-10-04 00:00:00","2022-10-04 19:18:00","Tenderloin","Warrant","Warrant","Cite or Arrest Adult","Tenderloin","Warrant Arrest, Enroute To US Marshall","220681527"
"2022-10-04 00:00:00","2022-10-04 19:20:00","Financial District/South Beach","Larceny Theft","Larceny Theft","Open or Active","Tenderloin","Theft, Shoplifting, >$950","220691156"
"2022-10-04 00:00:00","2022-10-04 19:21:00","Tenderloin","Lost Property","Lost Property","Open or Active","Tenderloin","Lost Property","220681630"
"2022-10-04 00:00:00","2022-10-04 19:23:00","Pacific Heights","Larceny Theft","Larceny Theft","Open or Active","Northern","Theft, Other Property, $50-$200","226183371"
"2022-10-04 00:00:00","2022-10-04 19:35:00","Tenderloin","Warrant","Warrant","Cite or Arrest Adult","Tenderloin","Warrant Arrest, Enroute To Outside Jurisdiction","220681680"
"2022-10-04 00:00:00","2022-10-04 19:35:00","South of Market","Non-Criminal","Non-Criminal","Open or Active","Tenderloin","Aided case, Naloxone Deployment","220681599"
"2022-10-04 00:00:00","2022-10-04 19:35:00","Tenderloin","Other Miscellaneous","Other Miscellaneous","Cite or Arrest Adult","Tenderloin","Trespassing","220681680"
"2022-10-04 00:00:00","2022-10-04 19:45:00","Russian Hill","Larceny Theft","Larceny Theft","Open or Active","Central","Theft, From Locked Vehicle, >$950","220681771"
"2022-10-04 00:00:00","2022-10-04 19:50:00","South of Market","Drug Offense","Drug Offense","Cite or Arrest Adult","Southern","Heroin, Possession For Sale","220681652"
"2022-10-04 00:00:00","2022-10-04 19:50:00","South of Market","Drug Offense","Drug Offense","Cite or Arrest Adult","Southern","Cocaine, Base/rock, Possession For Sale","220681652"
"2022-10-04 00:00:00","2022-10-04 19:50:00","South of Market","Drug Offense","Drug Offense","Cite or Arrest Adult","Southern","Controlled Substance, Possession For Sale","220681652"
"2022-10-04 00:00:00","2022-10-04 20:00:00","Financial District/South Beach","Larceny Theft","Larceny Theft","Open or Active","Central","Theft, From Locked Vehicle, >$950","226182919"
"2022-10-04 00:00:00","2022-10-04 20:00:00","Financial District/South Beach","Larceny Theft","Larceny Theft","Open or Active","Central","Theft, From Locked Vehicle, >$950","226182925"
"2022-10-04 00:00:00","2022-10-04 20:00:00","Hayes Valley","Motor Vehicle Theft","Motor Vehicle Theft","Cite or Arrest Adult","Mission","Vehicle, Stolen & Recovered","220682531"
"2022-10-04 00:00:00","2022-10-04 20:00:00","Mission","Lost Property","Lost Property","Open or Active","Mission","Lost Property","220682359"
"2022-10-04 00:00:00","2022-10-04 20:00:00","Marina","Motor Vehicle Theft","Motor Vehicle Theft","Open or Active","Northern","Vehicle, Stolen, Motorcycle","220683200"
"2022-10-04 00:00:00","2022-10-04 20:00:00","Financial District/South Beach","Larceny Theft","Larceny Theft","Open or Active","Central","Theft, From Locked Vehicle, >$950","220681890"
"2022-10-04 00:00:00","2022-10-04 20:05:00","Western Addition","Other Miscellaneous","Other Miscellaneous","Cite or Arrest Adult","Northern","Resisting, Delaying, or Obstructing  Peace Officer Duties","220681715"
"2022-10-04 00:00:00","2022-10-04 20:15:00","Nob Hill","Larceny Theft","Larceny Theft","Open or Active","Central","Theft, Lost Property, Petty","220681828"
"2022-10-04 00:00:00","2022-10-04 20:21:00","Hayes Valley","Assault","Assault","Open or Active","Northern","Battery, former Spouse or Dating Relationship","220681759"
"2022-10-04 00:00:00","2022-10-04 20:30:00","Tenderloin","Burglary","Burglary","Cite or Arrest Adult","Tenderloin","Burglary, Apartment House, Unlawful Entry","220686276"
"2022-10-04 00:00:00","2022-10-04 20:30:00","Financial District/South Beach","Larceny Theft","Larceny Theft","Open or Active","Central","Theft, From Locked Vehicle, >$950","226182793"
"2022-10-04 00:00:00","2022-10-04 20:35:00","Potrero Hill","Malicious Mischief","Malicious Mischief","Open or Active","Bayview","Malicious Mischief, Vandalism to Property","220681812"
"2022-10-04 00:00:00","2022-10-04 20:35:00","Potrero Hill","Other Miscellaneous","Other Miscellaneous","Open or Active","Bayview","Investigative Detention","220681812"
"2022-10-04 00:00:00","2022-10-04 20:35:00","Potrero Hill","Offences Against The Family And Children","Offences Against The Family And Children","Open or Active","Bayview","Domestic Violence (secondary only)","220681812"
"2022-10-04 00:00:00","2022-10-04 20:45:00","Twin Peaks","Larceny Theft","Larceny Theft","Open or Active","Park","Theft, From Locked Vehicle, $200-$950","220681931"
"2022-10-04 00:00:00","2022-10-04 21:00:00","Outer Richmond","Larceny Theft","Larceny Theft","Open or Active","Richmond","Theft, From Unlocked Vehicle, >$950","226182890"
"2022-10-04 00:00:00","2022-10-04 21:00:00","Inner Richmond","Larceny Theft","Larceny Theft","Open or Active","Richmond","Theft, From Locked Vehicle, >$950","220681806"
"2022-10-04 00:00:00","2022-10-04 21:00:00","Mission","Malicious Mischief","Malicious Mischief","Open or Active","Mission","Malicious Mischief, Vandalism to Vehicle","220682008"
"2022-10-04 00:00:00","2022-10-04 21:00:00","Bayview Hunters Point","Missing Person","Missing Person","Open or Active","Bayview","Found Person","220681442"
"2022-10-04 00:00:00","2022-10-04 21:09:00","Portola","Other Miscellaneous","Other Miscellaneous","Open or Active","Bayview","Investigative Detention","220681862"
"2022-10-04 00:00:00","2022-10-04 21:15:00","Bayview Hunters Point","Recovered Vehicle","Recovered Vehicle","Open or Active","Bayview","Vehicle, Recovered, Auto","220664200"
"2022-10-04 00:00:00","2022-10-04 21:20:00","Mission","Malicious Mischief","Malicious Mischief","Open or Active","Mission","Malicious Mischief, Vandalism to Vehicle","220682036"
"2022-10-04 00:00:00","2022-10-04 21:25:00","Hayes Valley","Larceny Theft","Larceny Theft","Open or Active","Northern","Theft, From Locked Vehicle, >$950","226183321"
"2022-10-04 00:00:00","2022-10-04 21:26:00","Mission","Assault","Assault","Open or Active","Mission","Battery","220681878"
"2022-10-04 00:00:00","2022-10-04 21:30:00","Castro/Upper Market","Burglary","Burglary","Open or Active","Mission","Burglary, Other Bldg., Unlawful Entry","220682525"
"2022-10-04 00:00:00","2022-10-04 21:30:00","Russian Hill","Lost Property","Lost Property","Open or Active","Northern","Lost Property","220684399"
"2022-10-04 00:00:00","2022-10-04 22:00:00","Bernal Heights","Burglary","Burglary","Open or Active","Ingleside","Burglary, Non-residential, Forcible Entry","220682569"
"2022-10-04 00:00:00","2022-10-04 22:00:00","Bayview Hunters Point","Other Miscellaneous","Other Miscellaneous","Open or Active","Bayview","Investigative Detention","220682622"
"2022-10-04 00:00:00","2022-10-04 22:00:00","Bernal Heights","Malicious Mischief","Malicious Mischief","Open or Active","Ingleside","Malicious Mischief, Vandalism to Property","220682569"
"2022-10-04 00:00:00","2022-10-04 22:00:00","Haight Ashbury","Sex Offense","Sex Offense","Open or Active","Park","Indecent Exposure (Adult victim)","220697530"
"2022-10-04 00:00:00","2022-10-04 22:00:00","South of Market","Other Miscellaneous","Other Miscellaneous","Open or Active","Southern","Investigative Detention","220681925"
"2022-10-04 00:00:00","2022-10-04 22:00:00","Bayview Hunters Point","Malicious Mischief","Malicious Mischief","Open or Active","Bayview","Malicious Mischief, Vandalism to Property","220682622"
